"","tree","plot","site","species","week","year","week_rwc_link","time","date_wp","mpa_mean","lwc_mean","mean_swc_per_dry_g","mean_swc_g","date_rwc","type","branch","date","lwm_g","ldm_g","l_cm","d_cm","area_cm2","lma_g_cm2","alas_cm2_per_mm2","sla_cm_g","leaf_count","lwa_g_cm2","ldmc"
"34",1478,"Low","Cucu Mesa","blue oak",37,0,37,"pd",2022-09-15,1.695,0.725960702486524,1.11679025018372,0.265433333333333,"2022-09-15","stem",2,2022-09-12,0.8137,0.5128,25.98,0.1305,32.528,0.0157648794884407,6.07976041325661,63.4321372854914,6,0.0114446829880438,0.314680331415941
"35",1478,"Low","Cucu Mesa","blue oak",37,0,37,"pd",2022-09-15,1.695,0.725960702486524,1.11679025018372,0.265433333333333,"2022-09-15","stem",3,2022-09-12,1.2062,0.7299,57.89,0.196,43.333,0.0168439757228902,3.59051496720174,59.3684066310453,11,0.0122280644484553,0.395247659929642
"36",1478,"Low","Cucu Mesa","blue oak",37,1,37,"md",2022-09-15,4.073,0.61517094017094,1.01161727671975,0.174066666666667,"2022-09-15","stem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",1478,"Low","Cucu Mesa","blue oak",37,1,37,"pd",2022-09-15,1.695,0.725960702486524,1.01161727671975,0.174066666666667,"2022-09-15","stem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",1478,"Low","Cucu Mesa","blue oak",29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2022-07-19,1.001,0.578,3.84,0.19075,34.708,0.0166532211593869,3.03634155158849,60.0484429065744,9,NA,NA
"39",1478,"Low","Cucu Mesa","blue oak",29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2022-07-19,0.995,0.52,4.11,0.188,33.483,0.0155302690917779,3.01549624238679,64.3903846153846,8,NA,NA
"40",1478,"Low","Cucu Mesa","blue oak",37,0,37,"md",2022-09-15,4.073,0.61517094017094,0.905997260362025,0.677333333333333,"2022-09-15","leaf",1,2022-09-12,0.4967,0.3015,22.75,0.1345,18.128,0.0166317299205649,3.18974122344343,60.1260364842454,6,0.0102313569319031,0.249690007503293
"41",1478,"Low","Cucu Mesa","blue oak",37,0,37,"md",2022-09-15,4.073,0.61517094017094,1.11679025018372,0.265433333333333,"2022-09-15","stem",2,2022-09-12,0.8137,0.5128,25.98,0.1305,32.528,0.0157648794884407,6.07976041325661,63.4321372854914,6,0.00969809573658563,0.314680331415941
"42",1478,"Low","Cucu Mesa","blue oak",37,0,37,"md",2022-09-15,4.073,0.61517094017094,1.11679025018372,0.265433333333333,"2022-09-15","stem",3,2022-09-12,1.2062,0.7299,57.89,0.196,43.333,0.0168439757228902,3.59051496720174,59.3684066310453,11,0.0103619243816669,0.395247659929642
"43",1478,"Low","Cucu Mesa","blue oak",37,0,37,"pd",2022-09-15,1.695,0.725960702486524,0.905997260362025,0.677333333333333,"2022-09-15","leaf",1,2022-09-12,0.4967,0.3015,22.75,0.1345,18.128,0.0166317299205649,3.18974122344343,60.1260364842454,6,0.0120739823366994,0.249690007503293
"44",1478,"Low","Cucu Mesa","blue oak",37,0,37,"pd",2022-09-15,1.695,0.725960702486524,0.905997260362025,0.677333333333333,"2022-09-15","leaf",2,2022-09-12,0.8137,0.5128,25.98,0.1305,32.528,0.0157648794884407,6.07976041325661,63.4321372854914,6,0.0114446829880438,0.361432894132564
"45",1478,"Low","Cucu Mesa","blue oak",19,0,19,"md",2022-05-09,2.535,0.834794738939816,1.11212055194809,0.2477,"2022-05-09","leaf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",1478,"Low","Cucu Mesa","blue oak",14,0,15,"md",NA,NA,NA,1.84531590413943,0.1694,"2022-04-14","stem",3,2022-04-04,0.596,0.223,2.98,0.118,23.834,0.00935638163967441,5.44857643443297,106.878923766816,7,NA,0.107817185737294
"47",1478,"Low","Cucu Mesa","blue oak",14,0,15,"md",NA,NA,NA,1.84531590413943,0.1694,"2022-04-14","stem",1,2022-04-04,0.817,0.275,6.03,0.10525,32.537,0.00845191627992747,9.34939321422199,118.316363636364,14,NA,0.129697654704719
"48",1478,"Low","Cucu Mesa","blue oak",15,0,15,"pd",NA,NA,NA,1.3074871404077,0.6863,"2022-04-14","leaf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",1478,"Low","Cucu Mesa","blue oak",29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2022-07-19,0.499,0.292,2.55,0.15925,18.659,0.0156492845275738,2.3419607377807,63.9006849315069,6,NA,NA
"50",1478,"Low","Cucu Mesa","blue oak",29,NA,30,"md",2022-07-19,4.13333333333333,0.585769230769231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",1478,"Low","Cucu Mesa","blue oak",29,NA,30,"pd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",1478,"Low","Cucu Mesa","blue oak",37,0,37,"md",2022-09-15,4.073,0.61517094017094,0.905997260362025,0.677333333333333,"2022-09-15","leaf",2,2022-09-12,0.8137,0.5128,25.98,0.1305,32.528,0.0157648794884407,6.07976041325661,63.4321372854914,6,0.00969809573658563,0.361432894132564
"53",1478,"Low","Cucu Mesa","blue oak",15,0,15,"md",2022-04-13,1.6904,1.04427438938878,1.84531590413943,0.1694,"2022-04-14","stem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",1478,"Low","Cucu Mesa","blue oak",37,0,37,"pd",2022-09-15,1.695,0.725960702486524,0.905997260362025,0.677333333333333,"2022-09-15","leaf",3,2022-09-12,1.2062,0.7299,57.89,0.196,43.333,0.0168439757228902,3.59051496720174,59.3684066310453,11,0.0122280644484553,0.446177163863257
"55",1478,"Low","Cucu Mesa","blue oak",15,0,15,"md",2022-04-13,1.6904,1.04427438938878,1.3074871404077,0.6863,"2022-04-14","leaf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",1478,"Low","Cucu Mesa","blue oak",37,0,37,"md",2022-09-15,4.073,0.61517094017094,0.905997260362025,0.677333333333333,"2022-09-15","leaf",3,2022-09-12,1.2062,0.7299,57.89,0.196,43.333,0.0168439757228902,3.59051496720174,59.3684066310453,11,0.0103619243816669,0.446177163863257
"57",2004,"High","Cucu Mesa","blue oak",10,0,11,"md",2022-03-08,1.65333333333333,1.78337099060783,1.85855728429986,1.314,"2022-03-15","leaf",1,2022-03-08,0.205,0.065,1.47,NA,4.197,0.0154872527996188,NA,64.5692307692308,9,0.0276195173670501,0.033791559279535
"58",2004,"High","Cucu Mesa","blue oak",14,0,15,"pd",2022-04-04,0.38925,1.01301729162619,0.984012348858943,0.4608,"2022-04-14","leaf",3,2022-04-04,0.583,0.305,1.93,0.09925,19.457,0.0156755923318086,6.28731146620106,63.7934426229508,9,0.015879646088605,0.236615266153184
"59",2004,"High","Cucu Mesa","blue oak",10,0,11,"md",2022-03-08,1.65333333333333,1.78337099060783,1.85855728429986,1.314,"2022-03-15","leaf",3,2022-03-08,0.274,0.083,2.21,NA,5.079,0.0163417995668439,NA,61.1927710843373,8,0.0291434912818371,0.0427491893600917
"60",2004,"High","Cucu Mesa","blue oak",17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2022-04-27,0.9937,0.5222,2.858,0.14525,33.565,0.0155578727841502,5.06412592912519,64.2761394101877,13,NA,NA
"61",2004,"High","Cucu Mesa","blue oak",37,0,37,"md",2022-09-15,3.59033333333333,0.575609756097561,0.810256150561098,0.279133333333333,"2022-09-15","stem",1,2022-09-12,0.3782,0.2387,30.39,0.14125,NA,NA,NA,NA,6,NA,0.227559559922802
"62",2004,"High","Cucu Mesa","blue oak",10,0,11,"md",2022-03-08,1.65333333333333,1.78337099060783,1.85855728429986,1.314,"2022-03-15","leaf",2,2022-03-08,0.238,0.045,1.64,NA,4.886,0.00920998772001637,NA,108.577777777778,9,0.0164248249237316,0.0236399505132577
"63",2004,"High","Cucu Mesa","blue oak",37,0,37,"md",2022-09-15,3.59033333333333,0.575609756097561,0.810256150561098,0.279133333333333,"2022-09-15","stem",2,2022-09-12,0.6183,0.4173,34.52,0.14975,23.251,0.0179476151563374,3.30033557929184,55.7177090821951,9,0.0103308223826723,0.339943716472162
"64",2004,"High","Cucu Mesa","blue oak",37,0,37,"md",2022-09-15,3.59033333333333,0.575609756097561,0.810256150561098,0.279133333333333,"2022-09-15","stem",3,2022-09-12,0.6527,0.3996,32.69,0.14675,23.236,0.0171974522292994,3.43443479378194,58.1481481481481,7,0.00989902128320649,0.330287199692853
"65",2004,"High","Cucu Mesa","blue oak",14,0,15,"md",2022-04-04,2.38333333333333,0.794647749168171,1.36174686954962,0.1394,"2022-04-14","stem",3,2022-04-04,0.583,0.305,1.93,0.09925,19.457,0.0156755923318086,6.28731146620106,63.7934426229508,9,0.0124565741633495,0.182991194147205
"66",2004,"High","Cucu Mesa","blue oak",14,0,15,"pd",2022-04-04,0.38925,1.01301729162619,0.984012348858943,0.4608,"2022-04-14","leaf",1,2022-04-04,1.157,0.585,5.25,0.15575,36.481,0.0160357446341931,4.78697050016705,62.3606837606838,16,0.0162444865985395,0.372846013879648
"67",2004,"High","Cucu Mesa","blue oak",37,1,37,"pd",2022-09-15,1.6205,0.708538614313438,0.870924477800224,0.256366666666667,"2022-09-15","stem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",2004,"High","Cucu Mesa","blue oak",37,1,37,"md",2022-09-15,3.59033333333333,0.575609756097561,0.870924477800224,0.256366666666667,"2022-09-15","stem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",2004,"High","Cucu Mesa","blue oak",37,0,37,"pd",2022-09-15,1.6205,0.708538614313438,0.810256150561098,0.279133333333333,"2022-09-15","stem",2,2022-09-12,0.6183,0.4173,34.52,0.14975,23.251,0.0179476151563374,3.30033557929184,55.7177090821951,9,0.0127165783731022,0.339943716472162
"70",2004,"High","Cucu Mesa","blue oak",17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2022-04-27,0.3466,0.1856,1.699,0.107,13.381,0.0138704132725506,3.72024158181964,72.0959051724138,8,NA,NA
"71",2004,"High","Cucu Mesa","blue oak",17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2022-04-27,0.3888,0.2117,1.778,0.09775,14.838,0.0142674214853754,4.94301538184087,70.0897496457251,9,NA,NA
"72",2004,"High","Cucu Mesa","blue oak",15,0,15,"pd",NA,NA,NA,1.36174686954962,0.1394,"2022-04-14","stem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",2004,"High","Cucu Mesa","blue oak",21,NA,21,"pd",2022-05-25,1.81766666666667,0.795422935895815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",2004,"High","Cucu Mesa","blue oak",10,0,11,"md",2022-03-08,1.65333333333333,1.78337099060783,1.85855728429986,1.314,"2022-03-15","leaf",4,2022-03-08,0.349,0.112,2.78,NA,6.718,0.0166716284608514,NA,59.9821428571429,11,0.0297316985632743,0.0568367135999265
"75",2004,"High","Cucu Mesa","blue oak",15,0,15,"pd",NA,NA,NA,0.984012348858943,0.4608,"2022-04-14","leaf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",2004,"High","Cucu Mesa","blue oak",14,1,15,"pd",2022-04-04,0.38925,1.01301729162619,1.13802730330705,0.1233,"2022-04-14","stem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",2004,"High","Cucu Mesa","blue oak",14,0,15,"pd",2022-04-04,0.38925,1.01301729162619,0.984012348858943,0.4608,"2022-04-14","leaf",2,2022-04-04,0.958,0.502,3.34,0.12175,31.795,0.0157886460135241,6.82764633233761,63.3366533864542,15,0.0159941714230648,0.337816842764105
"78",2004,"High","Cucu Mesa","blue oak",14,0,15,"md",2022-04-04,2.38333333333333,0.794647749168171,1.36174686954962,0.1394,"2022-04-14","stem",1,2022-04-04,1.157,0.585,5.25,0.15575,36.481,0.0160357446341931,4.78697050016705,62.3606837606838,16,0.0127427683797971,0.30050131794245
"79",2004,"High","Cucu Mesa","blue oak",14,0,15,"md",2022-04-04,2.38333333333333,0.794647749168171,1.36174686954962,0.1394,"2022-04-14","stem",2,2022-04-04,0.958,0.502,3.34,0.12175,31.795,0.0157886460135241,6.82764633233761,63.3366533864542,15,0.0125464120170599,0.269349882326729
"80",2004,"High","Cucu Mesa","blue oak",37,0,37,"pd",2022-09-15,1.6205,0.708538614313438,0.810256150561098,0.279133333333333,"2022-09-15","stem",1,2022-09-12,0.3782,0.2387,30.39,0.14125,NA,NA,NA,NA,6,NA,0.227559559922802
"81",2004,"High","Cucu Mesa","blue oak",NA,NA,NA,"pd",NA,NA,1.01301729162619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",2004,"High","Cucu Mesa","blue oak",17,NA,18,"md",2022-04-27,2.62066666666667,0.889679715302491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",2004,"High","Cucu Mesa","blue oak",37,0,37,"pd",2022-09-15,1.6205,0.708538614313438,0.810256150561098,0.279133333333333,"2022-09-15","stem",3,2022-09-12,0.6527,0.3996,32.69,0.14675,23.236,0.0171974522292994,3.43443479378194,58.1481481481481,7,0.0121850589722693,0.330287199692853
"84",2004,"High","Cucu Mesa","blue oak",10,0,11,"pd",2022-03-08,0.3335,2.02494061085973,1.85855728429986,1.314,"2022-03-15","leaf",3,2022-03-08,0.274,0.083,2.21,NA,5.079,0.0163417995668439,NA,61.1927710843373,8,0.0330911735974321,0.0427491893600917
"85",2004,"High","Cucu Mesa","blue oak",14,0,15,"md",2022-04-04,2.38333333333333,0.794647749168171,0.984012348858943,0.4608,"2022-04-14","leaf",1,2022-04-04,1.157,0.585,5.25,0.15575,36.481,0.0160357446341931,4.78697050016705,62.3606837606838,16,0.0127427683797971,0.372846013879648
"86",2004,"High","Cucu Mesa","blue oak",14,0,15,"md",2022-04-04,2.38333333333333,0.794647749168171,0.984012348858943,0.4608,"2022-04-14","leaf",3,2022-04-04,0.583,0.305,1.93,0.09925,19.457,0.0156755923318086,6.28731146620106,63.7934426229508,9,0.0124565741633495,0.236615266153184
"87",2004,"High","Cucu Mesa","blue oak",14,0,15,"md",2022-04-04,2.38333333333333,0.794647749168171,0.984012348858943,0.4608,"2022-04-14","leaf",2,2022-04-04,0.958,0.502,3.34,0.12175,31.795,0.0157886460135241,6.82764633233761,63.3366533864542,15,0.0125464120170599,0.337816842764105
"88",2004,"High","Cucu Mesa","blue oak",NA,0,19,NA,NA,NA,NA,1.37801402720875,0.189966666666667,"2022-05-09","stem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",2004,"High","Cucu Mesa","blue oak",NA,0,22,NA,NA,NA,NA,0.731862533749876,0.294333333333333,"2022-05-27","leaf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",2004,"High","Cucu Mesa","blue oak",15,0,15,"md",2022-04-13,2.2,0.822410202966214,1.36174686954962,0.1394,"2022-04-14","stem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",2004,"High","Cucu Mesa","blue oak",NA,0,19,NA,NA,NA,NA,1.10786238565383,0.295533333333333,"2022-05-09","leaf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",2004,"High","Cucu Mesa","blue oak",17,NA,18,"pd",2022-04-27,0.9345,0.957777777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",2004,"High","Cucu Mesa","blue oak",14,0,15,"pd",2022-04-04,0.38925,1.01301729162619,1.36174686954962,0.1394,"2022-04-14","stem",2,2022-04-04,0.958,0.502,3.34,0.12175,31.795,0.0157886460135241,6.82764633233761,63.3366533864542,15,0.0159941714230648,0.269349882326729
"94",2004,"High","Cucu Mesa","blue oak",14,1,15,"md",2022-04-04,2.38333333333333,0.794647749168171,1.13802730330705,0.1233,"2022-04-14","stem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",2004,"High","Cucu Mesa","blue oak",37,0,37,"md",2022-09-15,3.59033333333333,0.575609756097561,0.748602341189759,0.5262,"2022-09-15","leaf",1,2022-09-12,0.3782,0.2387,30.39,0.14125,NA,NA,NA,NA,6,NA,0.24176991185127
"96",2004,"High","Cucu Mesa","blue oak",21,NA,21,"md",2022-05-25,2.6858,0.709677419354839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",2004,"High","Cucu Mesa","blue oak",11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2022-03-15,0.656,0.238,3.55,0.121,13.82,0.0172214182344428,3.00460530500648,58.0672268907563,13,NA,NA
"98",2004,"High","Cucu Mesa","blue oak",29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2022-07-19,0.495,0.324,1.84,0.12375,19.433,0.016672670200175,4.03923910994199,59.9783950617284,8,NA,NA
"99",2004,"High","Cucu Mesa","blue oak",10,0,11,"pd",2022-03-08,0.3335,2.02494061085973,1.85855728429986,1.314,"2022-03-15","leaf",2,2022-03-08,0.238,0.045,1.64,NA,4.886,0.00920998772001637,NA,108.577777777778,9,0.0186496781597806,0.0236399505132577
"100",2004,"High","Cucu Mesa","blue oak",15,0,15,"md",2022-04-13,2.2,0.822410202966214,0.984012348858943,0.4608,"2022-04-14","leaf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",2004,"High","Cucu Mesa","blue oak",14,0,15,"pd",2022-04-04,0.38925,1.01301729162619,1.36174686954962,0.1394,"2022-04-14","stem",3,2022-04-04,0.583,0.305,1.93,0.09925,19.457,0.0156755923318086,6.28731146620106,63.7934426229508,9,0.015879646088605,0.182991194147205
"102",2004,"High","Cucu Mesa","blue oak",11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2022-03-15,0.512,0.189,2.2,0.118,10.301,0.0183477332297835,2.35486220739675,54.5026455026455,11,NA,NA
"103",2004,"High","Cucu Mesa","blue oak",NA,0,22,NA,NA,NA,NA,0.887540416031674,0.0686666666666667,"2022-05-27","stem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",2004,"High","Cucu Mesa","blue oak",10,0,11,"pd",2022-03-08,0.3335,2.02494061085973,1.85855728429986,1.314,"2022-03-15","leaf",4,2022-03-08,0.349,0.112,2.78,NA,6.718,0.0166716284608514,NA,59.9821428571429,11,0.0337590575195429,0.0568367135999265
"105",2004,"High","Cucu Mesa","blue oak",29,NA,30,"pd",2022-07-19,2.138,0.57945945945946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",2004,"High","Cucu Mesa","blue oak",29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2022-07-19,0.326,0.198,1.85,0.122,11.508,0.0172054223149114,2.46110599986769,58.1212121212121,5,NA,NA
