"","tree","species","time","date_shift","date_wp","cwc","lwc_mean","lma_g_cm2","lwa_g_cm2","water_potential"
"77","2007","blue oak",NA,2022-02-24,NA,0.0226938,NA,NA,NA,NA
"78","2007","blue oak",NA,2022-05-17,NA,0.0159805,NA,NA,NA,NA
"79","2007","blue oak","pd",2022-09-14,2022-09-15,0,0.801886695231132,0.0182145063285762,0.0146059702850885,-1.29416666666667
"80","2007","blue oak","md",2022-09-14,2022-09-15,0,0.627936507936508,0.0182145063285762,0.0114375534977536,-3.4215
"81","2007","blue oak","md",2022-03-08,2022-03-08,0.0626829,1.38916526753778,NA,NA,-1.77
"82","2007","blue oak","pd",2022-03-08,2022-03-08,0.0626829,1.57849597787833,NA,NA,-0.815
"83","2007","blue oak",NA,2022-03-16,NA,0.0493797,NA,NA,NA,NA
"84","2007","blue oak",NA,2022-03-22,NA,0.0536918,NA,NA,NA,NA
"85","2007","blue oak","pd",2022-04-05,2022-04-04,0.0630606,0.871411718442784,0.0149724590050347,0.0130471762308914,-0.36675
"86","2007","blue oak","md",2022-04-05,2022-04-04,0.0630606,0.77519292537438,0.0149724590050347,0.0116065442961608,-2.1
"87","2007","blue oak","md",2022-04-12,2022-04-13,0.041694,0.858635993582386,0.0149724590050347,0.0128558922141595,-1.70666666666667
"88","2007","blue oak","md",2022-04-29,2022-04-27,0.0600799,0.859447004608295,0.0134836511858652,0.0115884836228749,-2.42633333333333
"89","2007","blue oak","pd",2022-04-29,2022-04-27,0.0600799,0.90597539543058,0.0134836511858652,0.0122158562149622,-0.989
"90","2007","blue oak",NA,2022-05-03,NA,0.050075,NA,NA,NA,NA
"91","2007","blue oak","md",2022-05-11,2022-05-09,0.0179101,0.777748060978871,NA,NA,-2.23766666666667
"92","2007","blue oak","pd",NA,2022-07-19,NA,0.643740095087163,0.015441296961097,0.00994018197400568,-2.32333333333333
"93","2007","blue oak","md",NA,2022-07-19,NA,0.579726651480638,0.015441296961097,0.0089517313817749,-4.23333333333333
"94","2007","blue oak","pd",2022-04-20,2022-05-25,0.0401879,NA,NA,NA,-1.67233333333333
"95","2007","blue oak","md",2022-04-20,2022-05-25,0.0401879,0.698162729658793,NA,NA,-3.4
"96","2008","blue oak",NA,2022-02-24,NA,0,NA,NA,NA,NA
"97","2008","blue oak",NA,2022-02-28,NA,0.0009796,NA,NA,NA,NA
"98","2008","blue oak",NA,2022-05-17,NA,0.0017053,NA,NA,NA,NA
"99","2008","blue oak",NA,2022-09-14,NA,0,NA,NA,NA,NA
"100","2008","blue oak",NA,2022-03-08,NA,0.0449899,NA,NA,NA,NA
"101","2008","blue oak",NA,2022-03-16,NA,0.0428984,NA,NA,NA,NA
"102","2008","blue oak",NA,2022-03-22,NA,0.0613478,NA,NA,NA,NA
"103","2008","blue oak","pd",2022-04-05,2022-04-04,0.0608579,0.933194154488518,0.0149467229167192,0.0139481944546419,-0.6765
"104","2008","blue oak","md",2022-04-05,2022-04-04,0.0608579,0.809241286132183,0.0149467229167192,0.0120955052765872,-1.88333333333333
"105","2008","blue oak",NA,2022-04-12,NA,0.0368461,NA,NA,NA,NA
"106","2008","blue oak",NA,2022-04-29,NA,0.0175778,NA,NA,NA,NA
"107","2008","blue oak",NA,2022-05-03,NA,0,NA,NA,NA,NA
"108","2008","blue oak",NA,2022-05-11,NA,0.0116163,NA,NA,NA,NA
"109","2008","blue oak","md",2022-04-20,2022-05-25,0.0343212,0.692063492063492,NA,NA,-3.3
"110","2008","blue oak","pd",2022-04-20,2022-05-25,0.0343212,0.865671641791045,NA,NA,-1.736
"111","2009","blue oak",NA,2022-02-24,NA,0.0054698,NA,NA,NA,NA
"112","2009","blue oak",NA,2022-02-28,NA,0.0049911,NA,NA,NA,NA
"113","2009","blue oak","pd",2022-05-17,2022-05-23,0.0171527,0.854419410745234,0.0138864768252326,0.0118648753463426,-1.789
"114","2009","blue oak","md",2022-05-17,2022-05-23,0.0171527,0.705295566502463,0.0138864768252326,0.00979407053917575,-3.276
"115","2009","blue oak","pd",2022-09-14,2022-09-15,0,NA,0.0129478622743299,NA,-1.60833333333333
"116","2009","blue oak","pd",2022-09-14,2022-09-15,0,NA,0.0129478622743299,NA,-1.60833333333333
"117","2009","blue oak","md",2022-09-14,2022-09-15,0,0.503884372177055,0.0129478622743299,0.00652422545313571,NA
"118","2009","blue oak","md",2022-09-14,2022-09-15,0,0.503884372177055,0.0129478622743299,0.00652422545313571,NA
"119","2009","blue oak",NA,2022-03-08,NA,1e-07,NA,NA,NA,NA
"120","2009","blue oak",NA,2022-03-16,NA,0.0070634,NA,NA,NA,NA
"121","2009","blue oak","md",2022-03-22,2022-03-25,0.0407137,1.13333333333333,0.00925344300034789,0.0104872354003942,-2.0625
"122","2009","blue oak","md",2022-03-22,2022-03-23,0.0407137,1.13333333333333,0.00925344300034789,0.0104872354003942,-2.0625
"123","2009","blue oak","pd",2022-03-22,2022-03-25,0.0407137,1.31397849462366,0.00925344300034789,0.012158825103683,-1.26666666666667
"124","2009","blue oak","pd",2022-03-22,2022-03-23,0.0407137,1.31397849462366,0.00925344300034789,0.012158825103683,-1.26666666666667
"125","2009","blue oak","md",2022-04-05,2022-04-06,0.0582121,1.03923839041632,0.00925344300034789,NA,-2.95
"126","2009","blue oak","md",2022-04-12,2022-04-13,0.0060261,0.884505461811121,NA,NA,-2.088
"127","2009","blue oak","pd",2022-04-12,2022-04-11,0.0060261,0.886140675847483,NA,NA,-1.32666666666667
"128","2009","blue oak","pd",2022-04-29,2022-04-25,0.0195894,0.885623229461756,0.0152530937453474,0.0135084941420374,-1.276
"129","2009","blue oak","md",2022-04-29,2022-04-25,0.0195894,0.84174624829468,0.0152530937453474,0.0128392344350332,-3.03333333333333
"130","2009","blue oak",NA,2022-05-03,NA,2.2e-06,NA,NA,NA,NA
"131","2009","blue oak","pd",2022-05-11,2022-05-09,0.0109038,0.707988980716253,0.0138864768252326,0.0098314725732363,-1.66266666666667
"132","2009","blue oak","md",2022-05-11,2022-05-09,0.0109038,0.772787959703848,0.0138864768252326,0.0107313020932463,-2.83966666666667
"133","2009","blue oak","pd",NA,2022-08-18,NA,0.650943396226415,0.0129478622743299,0.0084283254427242,-2.851
"134","2009","blue oak","md",NA,2022-07-19,NA,0.579160186625195,0.0164839709380932,0.00954685968483035,-3.95
"135","2009","blue oak","md",NA,2022-08-18,NA,0.591337719298246,0.0129478622743299,0.00765655934709006,-4.0635
"136","2009","blue oak","md",NA,2022-08-18,NA,0.591337719298246,0.0129478622743299,0.00765655934709006,-4.0635
"137","2009","blue oak","pd",NA,2022-08-18,NA,0.650943396226415,0.0129478622743299,0.0084283254427242,-2.851
"138","2009","blue oak","pd",2022-04-20,2022-03-30,0.0204973,1.3695652173913,0.00925344300034789,0.0126731936743895,-1.12333333333333
"139","2010","blue oak",NA,2022-02-24,NA,0.0242848,NA,NA,NA,NA
"140","2010","blue oak",NA,2022-02-28,NA,0.0504087,NA,NA,NA,NA
"141","2010","blue oak","pd",2022-05-17,2022-05-23,0,0.812080536912752,0.0148716760802981,0.012076998696081,-1.486
"142","2010","blue oak","md",2022-05-17,2022-05-23,0,0.752,0.0148716760802981,0.0111835004123841,-3.56833333333333
"143","2010","blue oak","pd",2022-09-14,2022-09-15,0,0.747028550422742,0.0136868180021149,0.0102244438120198,-1.91666666666667
"144","2010","blue oak",NA,2022-03-08,NA,0.062921,NA,NA,NA,NA
"145","2010","blue oak",NA,2022-03-16,NA,0.0094915,NA,NA,NA,NA
"146","2010","blue oak","md",2022-03-22,2022-03-23,0.0368732,NA,NA,NA,-1.96
"147","2010","blue oak","pd",2022-03-22,2022-03-25,0.0368732,2.30232558139535,NA,NA,-1.4875
"148","2010","blue oak","pd",2022-03-22,2022-03-23,0.0368732,2.30232558139535,NA,NA,-1.4875
"149","2010","blue oak","md",2022-03-22,2022-03-25,0.0368732,NA,NA,NA,-1.96
"150","2010","blue oak",NA,2022-04-05,NA,0.0457743,NA,NA,NA,NA
"151","2010","blue oak","md",2022-04-12,2022-04-13,0,0.778375411599256,NA,NA,-2.616
"152","2010","blue oak","pd",2022-04-12,2022-04-11,0,0.827448383174087,NA,NA,-1.34525
"153","2010","blue oak","md",2022-04-29,2022-04-25,0.0059915,0.88861985472155,0.0146493293688463,0.0130176849355123,-2.62666666666667
"154","2010","blue oak","pd",2022-04-29,2022-04-25,0.0059915,0.885913853317812,0.0146493293688463,0.0129780438296764,-1.171
"155","2010","blue oak",NA,2022-05-03,NA,0,NA,NA,NA,NA
"156","2010","blue oak","md",2022-05-11,2022-05-09,0,0.837979094076655,0.0148716760802981,0.0124621536491696,-2.285
"157","2010","blue oak","pd",2022-05-11,2022-05-09,0,0.756756756756757,0.0148716760802981,0.0112542413580634,-1.49625
"158","2010","blue oak","md",NA,2022-08-18,NA,0.678798441664958,0.0136868180021149,0.00929059073118746,-4.2655
"159","2010","blue oak","pd",NA,2022-08-18,NA,0.698709507505926,0.0136868180021149,0.00956310986558092,-3.06166666666667
"160","2010","blue oak","pd",NA,2022-07-19,NA,0.684691848906561,0.0180010460234962,0.0123251694840797,-3.45
"161","2010","blue oak","md",NA,2022-07-19,NA,0.604578313253012,0.0180010460234962,0.0108830420416752,-3.73333333333333
"162","2010","blue oak","pd",2022-04-20,2022-03-30,0,1.0905132192846,NA,NA,-0.504333333333333
"163","2011","blue oak",NA,2022-02-24,NA,0.0112168,NA,NA,NA,NA
"164","2011","blue oak",NA,2022-02-28,NA,0.0316161,NA,NA,NA,NA
"165","2011","blue oak","pd",2022-05-17,2022-05-23,0.008059,0.793785310734463,0.0158204740685042,0.0125580599244341,-1.728
"166","2011","blue oak","md",2022-09-14,2022-09-15,0,0.566715086117452,0.0139302385802084,0.00789447635661944,-3.836
"167","2011","blue oak","pd",2022-09-14,2022-09-15,0,0.637793340705246,0.0139302385802084,0.0088846134008922,-1.57
"168","2011","blue oak",NA,2022-03-08,NA,0.0632895,NA,NA,NA,NA
"169","2011","blue oak",NA,2022-03-16,NA,0.0164144,NA,NA,NA,NA
"170","2011","blue oak",NA,2022-03-22,NA,0.0258795,NA,NA,NA,NA
"171","2011","blue oak","md",2022-04-05,2022-04-06,0.0647117,0.853571428571428,NA,NA,-3.15
"172","2011","blue oak","pd",2022-04-05,2022-04-04,0.0647117,0.973965002134016,NA,NA,-0.856333333333333
"173","2011","blue oak","pd",2022-04-12,2022-04-11,0.0348477,0.814214454212858,NA,NA,-1.45
"174","2011","blue oak","md",2022-04-12,2022-04-13,0.0348477,0.798128574743812,NA,NA,-1.78133333333333
"175","2011","blue oak","pd",2022-04-29,2022-04-25,0.019963,0.843921008803236,0.0154319404383076,0.013023338742488,-1.253
"176","2011","blue oak","md",2022-04-29,2022-04-25,0.019963,0.770461251747166,0.0154319404383076,0.0118897121469862,-1.695
"177","2011","blue oak",NA,2022-05-03,NA,0.0091785,NA,NA,NA,NA
"178","2011","blue oak","pd",2022-05-11,2022-05-09,0.0388116,0.699346405228758,0.0158204740685042,0.0110639916688232,-1.583
"179","2011","blue oak","md",2022-05-11,2022-05-09,0.0388116,0.793806740455167,0.0158204740685042,0.0125583989527748,-2.3015
"180","2011","blue oak","pd",NA,2022-07-19,NA,0.61679273827534,0.0168278965767232,0.0103793244089713,-4.15
"181","2011","blue oak","pd",NA,2022-08-18,NA,0.552907186710004,0.0139302385802084,0.00770212902358217,-3.60766666666667
"182","2011","blue oak","md",NA,2022-08-18,NA,0.545520231213873,0.0139302385802084,0.00759922697113969,-4.2785
"183","2011","blue oak","md",NA,2022-07-19,NA,0.562850971922246,0.0168278965767232,0.00947159794361567,-4.875
"184","2011","blue oak","md",2022-04-20,2022-05-25,0.0031759,NA,0.0158204740685042,NA,-2.22
"185","2012","blue oak",NA,2022-02-28,NA,0.0201408,NA,NA,NA,NA
"186","2012","blue oak",NA,2022-02-24,NA,0.0172762,NA,NA,NA,NA
"187","2012","blue oak",NA,2022-05-17,NA,0,NA,NA,NA,NA
"188","2012","blue oak","md",2022-09-14,2022-09-15,0.0139964,0.656576480042861,0.0144721881912755,0.0095020983811455,-4.1735
"189","2012","blue oak","pd",2022-09-14,2022-09-15,0.0139964,0.722444622364558,0.0144721881912755,0.0104553545326348,-2.4035
"190","2012","blue oak",NA,2022-03-08,NA,0.0254358,NA,NA,NA,NA
"191","2012","blue oak",NA,2022-03-16,NA,0.0299891,NA,NA,NA,NA
"192","2012","blue oak",NA,2022-03-22,NA,0.0547829,NA,NA,NA,NA
"193","2012","blue oak","pd",2022-04-05,2022-04-04,0.0586781,1.67787916741218,0.00929503277105085,0.0155959418469597,-0.505
"194","2012","blue oak","md",2022-04-12,2022-04-13,0.038282,0.977623062876194,0.00929503277105085,0.00908703840716932,-1.44133333333333
"195","2012","blue oak","pd",2022-04-29,2022-04-27,0.0398025,1.04239766081871,0.0140087455614071,0.0146026836042152,-1.2195
"196","2012","blue oak","md",2022-04-29,2022-04-27,0.0398025,0.971066907775769,0.0140087455614071,0.0136034292341331,-2.50333333333333
"197","2012","blue oak",NA,2022-05-03,NA,0.0428519,NA,NA,NA,NA
"198","2012","blue oak","md",2022-05-11,2022-05-09,0.014153,0.850194552529183,NA,NA,-2.45666666666667
"199","2012","blue oak","pd",NA,2022-07-19,NA,0.637818181818182,0.0161393432299455,0.0102939665546634,-2.63
"200","2012","blue oak","md",NA,2022-07-19,NA,0.582327586206896,0.0161393432299455,0.00939838478605879,-3.68333333333333
"201","2012","blue oak","md",2022-04-20,2022-05-25,0.0435022,0.741751990898748,NA,NA,-2.97216666666667
"202","2012","blue oak","pd",2022-04-20,2022-05-25,0.0435022,0.851851851851852,NA,NA,-2.607
"203","2013","blue oak","pd",NA,2022-09-15,NA,0.718999704054454,0.0151647287980596,0.0109034355178709,-2.0305
"204","2013","blue oak","md",NA,2022-04-04,NA,1.29703712607908,0.00880677644521445,0.0114227160105219,-1.6
"205","2013","blue oak","pd",NA,2022-04-04,NA,1.56633183235192,0.00880677644521445,0.0137943342865465,-0.7244
"206","2013","blue oak","md",NA,2022-04-13,NA,1.16748730107117,0.00880677644521445,0.0102817996631606,-1.1585
"207","2013","blue oak","md",NA,2022-04-27,NA,1.06927374301676,NA,NA,-2.29
"208","2013","blue oak","pd",NA,2022-04-27,NA,1.22927689594356,NA,NA,-1.198
"209","2013","blue oak","md",NA,2022-05-09,NA,0.909960852544585,NA,NA,-2.11233333333333
"210","2013","blue oak","md",NA,2022-07-19,NA,0.597010869565217,0.0171823901325312,0.0102580736742313,-3.96666666666667
"211","2013","blue oak","pd",NA,2022-05-25,NA,0.85792349726776,NA,NA,-2.104
"212","2014","blue oak",NA,2022-02-24,NA,0,NA,NA,NA,NA
"213","2014","blue oak",NA,2022-02-28,NA,3e-07,NA,NA,NA,NA
"214","2014","blue oak",NA,2022-05-17,NA,0.0249814,NA,NA,NA,NA
"215","2014","blue oak","md",2022-09-14,2022-09-15,0.0154713,0.61648946092147,NA,NA,-3.63933333333333
"216","2014","blue oak",NA,2022-03-08,NA,0.0149648,NA,NA,NA,NA
"217","2014","blue oak",NA,2022-03-16,NA,0.0137505,NA,NA,NA,NA
"218","2014","blue oak",NA,2022-03-22,NA,0.0430796,NA,NA,NA,NA
"219","2014","blue oak","pd",2022-04-05,2022-04-04,0.0657307,1.3767539498398,0.0115526535158508,0.0159051613590782,-0.787
"220","2014","blue oak","md",2022-04-05,2022-04-04,0.0657307,1.28807692307692,0.0115526535158508,0.0148807063940709,-2.46666666666667
"221","2014","blue oak",NA,2022-04-12,NA,0.0501073,NA,NA,NA,NA
"222","2014","blue oak",NA,2022-04-29,NA,0.055638,NA,NA,NA,NA
"223","2014","blue oak",NA,2022-05-03,NA,0.0385147,NA,NA,NA,NA
"224","2014","blue oak",NA,2022-05-11,NA,0.0262076,NA,NA,NA,NA
"225","2014","blue oak",NA,2022-04-20,NA,0.047813,NA,NA,NA,NA
"226","2015","blue oak",NA,2022-02-24,NA,0.0021996,NA,NA,NA,NA
"227","2015","blue oak",NA,2022-02-28,NA,0.0053503,NA,NA,NA,NA
"228","2015","blue oak",NA,2022-05-17,NA,0.0116,NA,NA,NA,NA
"229","2015","blue oak","pd",2022-09-14,2022-09-15,0.0097163,0.728144697177309,0.0147419700314811,0.0107342873043698,-1.84675
"230","2015","blue oak","md",2022-09-14,2022-09-15,0.0097163,0.702747989276139,0.0147419700314811,0.0103598897975924,-4.4435
"231","2015","blue oak",NA,2022-03-08,NA,0,NA,NA,NA,NA
"232","2015","blue oak",NA,2022-03-16,NA,0.0178674,NA,NA,NA,NA
"233","2015","blue oak",NA,2022-03-22,NA,0.0022656,NA,NA,NA,NA
"234","2015","blue oak","pd",2022-04-05,2022-04-04,0.0587953,1.24515269025691,0.0149738204619589,0.0186446928316321,-0.617666666666667
"235","2015","blue oak","md",2022-04-12,2022-04-13,1e-07,0.891435576186348,0.0149738204619589,0.0133481962712173,-1.795
"236","2015","blue oak","md",2022-04-29,2022-04-27,0,0.9836867862969,0.0150975322146832,0.0148512429452757,-2.731
"237","2015","blue oak","pd",2022-04-29,2022-04-27,0,NA,0.0150975322146832,NA,-1.326
"238","2015","blue oak",NA,2022-05-03,NA,0.0217902,NA,NA,NA,NA
"239","2015","blue oak","md",2022-05-11,2022-05-09,0,0.866947472745292,NA,NA,-2.5325
"240","2015","blue oak","md",NA,2022-07-19,NA,0.611616161616162,0.0176631956279861,0.0108030959118642,-4.75
"241","2015","blue oak","pd",NA,2022-07-19,NA,0.620666666666666,0.0176631956279861,0.0109629567531033,-3.75
"242","2015","blue oak","pd",2022-04-20,2022-05-25,0.0326836,0.902601902601903,NA,NA,-1.982
"243","2015","blue oak","md",2022-04-20,2022-05-25,0.0326836,0.714285714285714,NA,NA,-3.1685
"244","2016",NA,NA,2022-02-28,NA,0.029412,NA,NA,NA,NA
"245","2016",NA,NA,2022-02-24,NA,0.0311447,NA,NA,NA,NA
"246","2016",NA,NA,2022-05-17,NA,0.0285133,NA,NA,NA,NA
"247","2016",NA,NA,2022-09-14,NA,0.0054187,NA,NA,NA,NA
"248","2016",NA,NA,2022-03-08,NA,0.0384519,NA,NA,NA,NA
"249","2016",NA,NA,2022-03-16,NA,0.0438355,NA,NA,NA,NA
"250","2016",NA,NA,2022-03-22,NA,0.0704063,NA,NA,NA,NA
"251","2016",NA,NA,2022-04-05,NA,0.07735,NA,NA,NA,NA
"252","2016",NA,NA,2022-04-12,NA,0.0507535,NA,NA,NA,NA
"253","2016",NA,NA,2022-04-29,NA,0.0402265,NA,NA,NA,NA
"254","2016",NA,NA,2022-05-03,NA,0.0618918,NA,NA,NA,NA
"255","2016",NA,NA,2022-05-11,NA,0.0301,NA,NA,NA,NA
"256","2016",NA,NA,2022-04-20,NA,0.0383693,NA,NA,NA,NA
"257","2020","blue oak",NA,2022-02-24,NA,0.0081685,NA,NA,NA,NA
"258","2020","blue oak",NA,2022-02-28,NA,0.0499212,NA,NA,NA,NA
"259","2020","blue oak","md",2022-05-17,2022-05-23,0,0.787974683544304,0.0154601661530273,0.012182219531974,-2.9805
"260","2020","blue oak","pd",2022-09-14,2022-09-15,0,0.689802517611734,0.0142241825162047,0.00981187691064683,-2.10666666666667
"261","2020","blue oak","md",2022-09-14,2022-09-15,0,0.654434250764526,0.0142241825162047,0.00930879222773032,-2.643
"262","2020","blue oak","md",2022-03-08,2022-03-08,0.0099316,1.12870514147688,0.012557218896041,NA,-2.17333333333333
